"gene_symbol","module_color","MM","MM_pvalue","GS","GS_pvalue"
"ACTA2","salmon",0.829523717354877,0.0108563759914807,0.922058884897812,0.0011155798321877
"SAP30","salmon",0.903805175944164,0.00206787320629293,0.81231601596613,0.014288844123539
"SRGN","salmon",0.851996415498619,0.00723201574567534,0.682748278425238,0.0620385411068151
"NFIL3","salmon",0.822829055317334,0.012121306459578,0.539519040495682,0.167564193748925
"FCGR1A","salmon",0.854535992139522,0.00687988334290134,0.805992281708493,0.0157024062005817
"FCGR1C","salmon",0.854535992139522,0.00687988334290134,0.805992281708493,0.0157024062005817
"FBXO32","salmon",0.522700745491307,0.183817136124572,0.764409162818345,0.0271860779996584
"CREM","salmon",0.922068176966238,0.00111518887374064,0.737806560359963,0.0366650287805645
"HSPH1","salmon",0.909257422605623,0.00174316270094759,0.720014148261605,0.0439944361963689
"MOXD1","salmon",0.896233280097432,0.0025804032128352,0.9284064160744,0.000868852542642468
"SERTAD1","salmon",0.912477903852907,0.0015679795285626,0.639442803253328,0.0877792902082746
"KDM6B","salmon",0.845075176922739,0.00824946355409949,0.508963528199053,0.197690732761278
"LOC100132116","salmon",0.823159478774007,0.0120567978781242,0.938337076443019,0.000559381120762595
"TMEM107","salmon",0.611816683295494,0.106965673172632,0.155853020335712,0.712473222954312
"ALDH1L2","salmon",0.946498879837212,0.000367652185871696,0.646275865811426,0.083368682932531
"GPR183","salmon",0.959765430754555,0.000157957321722077,0.755668222120572,0.0301096180054883
"MYO1D","salmon",0.868204145035304,0.00517246691792787,0.77334944472928,0.024384173453853
"NFKBIA","salmon",0.774753224471214,0.0239612586604857,0.431600549452067,0.285630454211077
"S100A9","salmon",0.813750664689026,0.0139797519262874,0.711166056302901,0.0479442819739815
"CXCR2","salmon",0.882853358258612,0.00367426140989134,0.686382652937013,0.060114445762381
"CASK","salmon",0.759877500640858,0.0286787975002253,0.429155531438899,0.288673848074945
"KIF26B","salmon",0.683056295598479,0.0618740735528829,0.617954428951002,0.102514502764998
"CDH2","salmon",0.686242338844587,0.0601880619155574,0.786448869052709,0.0206140599141878
"PDK1","salmon",0.678440280764552,0.0643660411032009,0.65904900549107,0.0754767985445629
"JUN","salmon",0.703888404465219,0.0513476303910342,0.51692119395784,0.189588761997559
"ARHGAP9","salmon",0.95789272557936,0.000180798240065195,0.812827390741574,0.0141781813774617
"CHST11","salmon",0.902780998972063,0.00213293198413733,0.542548588913772,0.164722582100156
"TUBB2B","salmon",0.707147020458192,0.0498064027687273,0.415309003571034,0.306203779545973
"WEE1","salmon",0.720423209747922,0.0438167741565206,0.284038846917159,0.495378495236284
